stand,latcoord,longcoord
1,50.97697027777778,10.961612777777777
2,50.97701305555556,10.96110361111111
3,50.97706138888889,10.960574999999999
4,50.97710333333333,10.960054166666666
21,50.976328888888894,10.967105833333333
22,50.975973611111115,10.967046666666667
23,50.97554777777778,10.966969166666667
24,50.97521527777778,10.966908611111112
31,50.97643777777778,10.965231944444444
32,50.97597527777778,10.965141944444444
33,50.975433055555555,10.965048888888887
41,50.97662888888889,10.963424444444444
42,50.97627333333334,10.963365277777777
43,50.97584722222222,10.963293333333333
44,50.975481111111115,10.963226666666666
51,50.97578277777778,10.961547777777778
61,50.97577805555556,10.960759722222221
62,50.9758875,10.959963888888888
71,50.977845,10.951268333333333
72,50.97783388888889,10.950747499999999
73,50.977845,10.95047
H01,50.97608777777778,10.958979444444443
H02,50.97616388888889,10.958034999999999
