stand,latcoord,longcoord
1,51.61222222222222,8.62188888888889
1A,51.61231138888889,8.621658333333334
1B,51.612072777777776,8.621905
2,51.612,8.621361111111112
2A,51.61188888888889,8.621069444444444
3,51.61176388888889,8.620777777777779
4,51.611472222222226,8.620027777777779
5,51.61119444444444,8.619277777777778
6,51.61083333333333,8.618638888888889
7,51.61044444444445,8.618027777777778
7A,51.61036111111111,8.618111111111112
7B,51.610527777777776,8.617916666666668
7C,51.61066666666667,8.617777777777778
8X,51.61036111111111,8.61675
8Y,51.61036111111111,8.61675
9X,51.610083333333336,8.617111111111111
9Y,51.610083333333336,8.617111111111111
11,51.60980555555556,8.617027777777778
10,51.609972222222225,8.617472222222222
12,51.609405,8.616053333333333
12A,51.60956388888889,8.616430277777777
13,51.60977555555556,8.616183055555556
13A,51.60962083333334,8.615825555555555
14,51.609836666666666,8.615597777777777
14A,51.609994444444446,8.615952499999999
Hangar,51.60826981481482,8.61180037037037
